milaae,Liters,Consumtime,target
40920,8.326976,0.953952,3
14488,7.153469,1.673904,2
75136,13.147394,0.428964,1
72993,10.141740,1.032955,1
35948,6.830792,1.213192,3
67497,8.631577,0.749278,1
35483,12.273169,1.508053,3
50242,3.723498,0.831917,1
63275,8.385879,1.669485,1
51052,4.680098,0.625224,1
43673,1.889461,0.191283,1
61364,7.516754,1.269164,1
69673,14.239195,0.261333,1
15669,0.000000,1.250185,2
28488,10.528555,1.304844,3
6487,3.540265,0.822483,2
37708,2.991551,0.833920,1
28782,6.593803,0.187108,3
36788,12.458258,0.649617,3
5741,0.000000,1.656418,2
28567,9.968648,0.731232,3
6808,1.364838,0.640103,2
